2020-06-08 14:55:16.435638 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [14.0 ms]
2020-06-08 14:55:15.099213 ; Session        ; Debug       ; Session log loaded as 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\SessionLogs\tap 2020-06-08 14-55-14.txt'. [10.0 ms]
2020-06-08 14:55:15.210913 ; Session        ; Debug       ; Running '"C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\tap.exe" communityeditionpopup' in 'C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release'.
2020-06-08 14:55:15.309649 ; Session        ; Debug       ; Microsoft Windows 10.0.18363 X64
2020-06-08 14:55:15.309649 ; Session        ; Debug       ; .NET Framework 4.8.4180.0
2020-06-08 14:55:15.373479 ; Resolver       ; Debug       ; Found 70/70 assembly files. [42.2 ms]
2020-06-08 14:55:15.383451 ; Session        ; Debug       ; OpenTAP Engine 9.7.0+c65b0c5a X64
2020-06-08 14:55:15.477202 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2020-06-08 14:55:15.543026 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ae1\source\repos\tarang1606\ASEPL-S_Series_Oscilloscope\S_Series_Oscilloscope\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2020-06-08 14:55:15.887104 ; Searcher       ; Debug       ; Ordered 67 assemblies according to references. [371 ms]
2020-06-08 14:55:16.253126 ; PluginManager  ; Debug       ; Found 16 plugin assemblies containing 233 plugin types. [741 ms]
